"Number","Name","Latitude","Longitude","District","Public","Total docks"
"C32066","Dorchester Ave at King St","42.29175621632091","-71.0625918023743","Boston","Yes","0"
"B32017","Dudley Square - Bolling Building","42.329842993518085","-71.08386572459494","Boston","Yes","18"
"C32015","Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave","42.325333","-71.075354","Boston","Yes","0"
"C32018","E Cottage St at Columbia Rd","42.320561","-71.06198","Boston","Yes","0"
"A32031","East Boston Neighborhood Health Center - 20 Maverick Square","42.369536","-71.039431","Boston","Yes","16"
"S32017","East Somerville Library (Broadway and Illinois)","42.3876281075134","-71.08318716287613","Somerville","Yes","15"
"S32038","Edgerly Education Center","42.38717463348314","-71.08714388528824","Somerville","Yes","15"
"A32022","Edwards Playground - Main St at Eden St","42.378965","-71.068607","Boston","Yes","19"
"M32034","EF - North Point Park","42.369885","-71.069957","Cambridge","Yes","23"
"E32004","Egleston Square - Atherton St at Washington St","42.315692","-71.098634","Boston","Yes","15"
"S32039","Elm St at White St","42.38952436305763","-71.11694140364307","Somerville","Yes","0"
"V32005","Encore","42.39329263225162","-71.0724475979805","Everett","Yes","15"
"V32003","Everett Square (Broadway at Chelsea St)","42.40725945172653","-71.05546381333625","Everett","Yes","14"
"A32000","Fan Pier","42.3533905070523","-71.04457139968872","Boston","Yes","15"
"A32038","Faneuil St at Arlington St","42.35276620545606","-71.15988485533308","Boston","Yes","15"
"C32051","Farragut Rd at E. 6th St","42.3334","-71.02495","Boston","Yes","23"
"C32041","Fields Corner T Stop","42.300664","-71.060295","Boston","Yes","15"
"E32010","Forest Hills","42.300923","-71.114249","Boston","Yes","40"
"S32015","Foss Park","42.39108438146733","-71.09039425849915","Somerville","Yes","15"
"C32037","Four Corners - 157 Washington St","42.304127927390155","-71.07929527759552","Boston","Yes","11"
"C32027","Franklin Park - Seaver St at Humboldt Ave","42.309796","-71.092225","Boston","Yes","15"
"C32030","Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave","42.303469","-71.085347","Boston","Yes","14"
"M32051","Fresh Pond Reservation","42.38267827521855","-71.143478951426","Cambridge","Yes","17"
"M32072","Galileo Galilei Way at Main Street","42.363003781560096","-71.08974037706501","Cambridge","Yes","19"
"C32040","Gallivan Blvd at Adams St","42.28297567840305","-71.05466698296368","Boston","Yes","15"
"C32090","Geiger Gibson Community Health Center","42.31886468217537","-71.04536797860419","Boston","Yes","19"
"V32006","Glendale Square (Ferry St at Broadway)","42.41427294293992","-71.04479655659816","Everett","Yes","15"
"A32034","Glendon St at Condor St","42.38240377674137","-71.03024303913116","Boston","Yes","0"
"A32049","Gove St at Orleans St","42.37057753242139","-71.03558540113227","Boston","Yes","19"
"B32032","Government Center - Cambridge St at Court St","42.3598253979878","-71.05979576244862","Boston","Yes","23"
"M32068","Graham and Parks School ? Linnaean St at Walker St","42.38294430172271","-71.12449831038248","Cambridge","Yes","19"
"E32005","Green Street T Stop - Green St at Amory St","42.310579","-71.107341","Boston","Yes","23"
"B32028","Grove Hall Library - 41 Geneva Ave","42.30791","-71.080952","Boston","Yes","15"
"S32019","Grove St at Community Path","42.396386809455","-71.12011306006025","Somerville","Yes","15"
"V32012","Hale Park","42.414962648832656","-71.05279301009432","Everett","Yes","11"
"D32043","Harrison Ave at Bennet St","42.34942609892521","-71.06209959843909","Boston","Yes","19"
"C32093","Harrison Ave at E. Dedham St","42.339194","-71.06975","Boston","Yes","19"
"C32057","Harrison Ave at Mullins Way","42.34521562115022","-71.0638403149278","Boston","Yes","19"
"D32035","Harvard Ave at Brainerd Rd","42.34953016890375","-71.13022770741735","Boston","Yes","15"
"M32016","Harvard Kennedy School at Bennett St / Eliot St","42.3722168027866","-71.12188071012497","Cambridge","Yes","23"
"M32020","Harvard Law School at Mass Ave / Jarvis St","42.379011","-71.119945","Cambridge","Yes","19"
"M32017","Harvard Square at Brattle St / Eliot St","42.373231","-71.120886","Cambridge","Yes","15"
"M32018","Harvard Square at Mass Ave/ Dunster","42.373268","-71.118579","Cambridge","Yes","19"
"M32055","Harvard St at Greene-Rose Heritage Park","42.36599432867437","-71.09522221614498","Cambridge","Yes","19"
"A32052","Harvard Stadium: N. Harvard St at Soldiers Field Rd","42.368019","-71.1242","Boston","Yes","15"
"M32023","Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St","42.377945","-71.116865","Cambridge","Yes","17"
"M32021","Harvard University Gund Hall at Quincy St / Kirkland St","42.376369","-71.114025","Cambridge","Yes","13"
"M32014","Harvard University Housing - 115 Putnam Ave at Peabody Terrace","42.366621","-71.114214","Cambridge","Yes","15"
"M32024","Harvard University Radcliffe Quadrangle at Shepard St / Garden St","42.380287","-71.125107","Cambridge","Yes","19"
"M32038","Harvard University River Houses at DeWolfe St / Cowperthwaite St","42.369121582065524","-71.1163867230971","Cambridge","Yes","21"
"D32026","Hayes Square - Vine St at Moulton St","42.377022","-71.056605","Boston","Yes","0"
"K32010","High St at Cypress St","42.32538435700882","-71.12177595532557","Brookline","Yes","3"
"B32003","HMS/HSPH - Avenue Louis Pasteur at Longwood Ave","42.3374174845973","-71.10286116600037","Boston","Yes","25"
"A32040","Honan Library","42.36027370454934","-71.12852452327388","Boston","Yes","15"
"B32033","Huntington Ave at Mass Art","42.336585554561154","-71.0988699646623","Boston","Yes","15"
"M32044","Huron Ave At Vassal Lane","42.381650612901176","-71.13426981498378","Cambridge","Yes","19"
"C32089","Hyde Park Ave at Walk Hill St","42.29606704649873","-71.11601199963843","Boston","Yes","15"
"E32003","Hyde Square - Barbara St at Centre St","42.32176525723952","-71.10984160567114","Boston","Yes","15"
"C32020","ID Building East","42.344827","-71.028664","Boston","Yes","17"
"C32021","ID Building West","42.344796","-71.031614","Boston","Yes","19"
"C32025","Ink Block - Harrison Ave at Herald St","42.345901","-71.063187","Boston","Yes","15"
"M32062","Inman Square at Springfield St.","42.37438408515815","-71.1001574621514","Cambridge","Yes","19"
"A32011","Innovation Lab - 125 Western Ave at Batten Way","42.36314498882458","-71.12298574307715","Boston","Yes","19"
"E32006","Jackson Square T Stop","42.32293117195949","-71.10014140605927","Boston","Yes","18"
"D32052","Jamaica St at South St","42.3060456272408","-71.11570891001975","Boston","Yes","19"
"K32004","JFK Crossing at Harvard St. / Thorndike St.","42.344952","-71.127351","Brookline","Yes","15"
"C32013","JFK/UMass T Stop","42.32033973515723","-71.05118036270142","Boston","Yes","15"
"V32013","Kearins Playground","42.406161241322444","-71.06041654944418","Everett","Yes","11"
"M32032","Kendall Street","42.363560158429884","-71.08216792345047","Cambridge","Yes","15"
"M32004","Kendall T","42.362427842912396","-71.08495473861694","Cambridge","Yes","23"
"B32010","Kenmore Square","42.348706","-71.097009","Boston","Yes","27"
"M32065","Kennedy-Longfellow School 158 Spring St","42.36955297756508","-71.08579014980933","Cambridge","Yes","19"
"M32009","Lafayette Square at Mass Ave / Main St / Columbia St","42.36346469304347","-71.10057324171066","Cambridge","Yes","15"
"B32015","Landmark Center - Brookline Ave at Park Dr","42.343690557197476","-71.10235286881107","Boston","Yes","15"
"N32008","Langley Lot","42.330528","-71.192861","Newton","Yes","11"
"B32058","Lansdowne T Stop","42.34734473177431","-71.1001680795016","Boston","Yes","27"
"M32001","Lechmere Station at Cambridge St / First St","42.370677","-71.076529","Cambridge","Yes","19"
"M32039","Lesley University","42.38674802045056","-71.11901879310608","Cambridge","Yes","15"
"D32006","Lewis Wharf at Atlantic Ave","42.363871","-71.050877","Boston","Yes","19"
"M32025","Linear Park - Mass. Ave. at Cameron Ave. ","42.397828","-71.130516","Cambridge","Yes","19"
"L32002","Linwood St at Minuteman Bikeway","42.40935395518158","-71.14906518727366","Arlington","Yes","3"
"A32004","Longwood Ave at Binney St","42.338629","-71.1065","Boston","Yes","15"
"M32022","Lower Cambridgeport at Magazine St / Riverside Rd","42.357218503176526","-71.1138716340065","Cambridge","Yes","19"
"S32013","Magoun Square at Trum Field","42.39778339961249","-71.10594004465383","Somerville","Yes","15"
"D32020","Main St at Austin St","42.375603","-71.064608","Boston","Yes","11"
"D32036","Main St at Baldwin St","42.380857","-71.070629","Boston","Yes","19"
"D32038","Main St at Thompson Sq","42.374878467440965","-71.06383498767171","Boston","Yes","15"
"K32012","Marion St at Harvard St","42.33978052668946","-71.12133350232398","Brookline","Yes","0"
"A32048","Marion St at White St","42.38066930871317","-71.03907315999093","Boston","Yes","0"
"E32012","Martha Eliot Health Center","42.324173","-71.10196","Boston","Yes","16"
"M32061","Mass Ave at Albany St","42.36135837662249","-71.09670273977825","Cambridge","Yes","18"
"L32003","Mass Ave at Grafton St","42.40726052447951","-71.14382132425817","Arlington","Yes","0"
"M32056","Mass Ave at Hadley/Walden","42.39120971915856","-71.12260755160605","Cambridge","Yes","19"
"C32063","Mass Ave T Station","42.34135615767354","-71.08336953450817","Boston","Yes","16"
"C32004","Massachusetts Ave at Columbus Ave","42.33949453726166","-71.0802078062261","Boston","Yes","14"
"C32050","Mattapan Library","42.2773889","-71.09325","Boston","Yes","15"
"C32045","Mattapan T Stop","42.267902","-71.093641","Boston","Yes","15"
"A32030","Maverick Square - Lewis Mall","42.368844082898356","-71.03977829217911","Boston","Yes","33"
"A32044","Maverick St at Massport Path","42.36774122306014","-71.0333597474255","Boston","Yes","15"
"D32037","Medford St at Charlestown BCYF","42.380429474494896","-71.06055721676967","Boston","Yes","19"
"M32006","MIT at Mass Ave / Amherst St","42.3581","-71.093198","Cambridge","Yes","27"
"M32070","MIT Carleton St at Amherst St","42.36054174140606","-71.08669817447662","Cambridge","Yes","27"
"M32071","MIT Hayward St at Amherst St","42.36085937353302","-71.08551858007559","Cambridge","Yes","27"
"M32041","MIT Pacific St at Purrington St","42.35957320109044","-71.10129475593567","Cambridge","Yes","19"
"M32005","MIT Stata Center at Vassar St / Main St","42.3621312344991","-71.09115600585936","Cambridge","Yes","35"
"M32042","MIT Vassar St","42.355601213279265","-71.10394477844238","Cambridge","Yes","25"
"B32023","MLK Blvd at Washington St","42.32143814183195","-71.09126061201096","Boston","Yes","15"
"M32043","Mt Auburn","42.37478628706384","-71.13320231437683","Cambridge","Yes","19"
"C32080","Mt. Hope St at Hyde Park Ave","42.28484472443536","-71.11874517062459","Boston","Yes","0"
"D32017","Mugar Way at Beacon St","42.355536284897084","-71.07286870479584","Boston","Yes","19"
"C32023","Murphy Skating Rink - 1880 Day Blvd","42.336448","-71.023739","Boston","Yes","19"
"M32045","Museum of Science","42.36769018024484","-71.07116281986237","Cambridge","Yes","19"
"A32025","Nashua Street at Red Auerbach Way","42.365673","-71.064263","Boston","Yes","37"
"B32027","NCAAA - Walnut Ave at Crawford St","42.316902","-71.091946","Boston","Yes","15"
"D32001","New Balance - 20 Guest St","42.35732921867706","-71.14673539996147","Boston","Yes","15"
"B32000","Newbury St at Hereford St","42.348717","-71.085954","Boston","Yes","0"
"C32022","Newmarket Square T Stop - Massachusetts Ave at Newmarket Square","42.326599","-71.066498","Boston","Yes","15"
"N32002","Nonantum Library","42.36068455768156","-71.20146199598821","Newton","Yes","11"
"C32078","Northbourne Rd at Hyde Park Ave","42.29118034790426","-71.117736660035","Boston","Yes","0"
"B32012","Northeastern University - North Parking Lot","42.341814","-71.090179","Boston","Yes","0"
"D32031","Oak Square - 615 Washington St","42.35057","-71.166491","Boston","Yes","15"
"B32036","One Brigham Circle","42.333922701369964","-71.10446508982932","Boston","Yes","15"
"M32003","One Broadway / Kendall Sq at Main St / 3rd St","42.36224178650923","-71.0831107199192","Cambridge","Yes","23"
"M32002","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","Cambridge","Yes","19"
"M32053","One Memorial Drive","42.361619320766856","-71.0804355052096","Cambridge","Yes","19"
"A32035","Orient Heights T Stop - Bennington St at Saratoga St","42.386781","-71.006098","Boston","Yes","19"
"S32009","Packard Ave at Powderhouse Blvd","42.40449","-71.123413","Somerville","Yes","15"
"A32012","Packard's Corner - Commonwealth Ave at Brighton Ave","42.352261","-71.123831","Boston","Yes","27"
"A32008","Park Dr at Buswell St","42.347241","-71.105301","Boston","Yes","15"
"D32042","Park Plaza at Charles St S.","42.351828068920675","-71.06781138111728","Boston","Yes","19"
"C32039","Park St at Norwell St","42.29442578670662","-71.07821760713703","Boston","Yes","0"
"S32034","Perry Park","42.37927324600841","-71.10341902831351","Somerville","Yes","19"
"M32029","Porter Square Station","42.387995","-71.119084","Cambridge","Yes","19"
"A32050","Porzio Park","42.364119035231525","-71.02876782417297","Boston","Yes","17"
"D32012","Post Office Square","42.35585435522005","-71.05459745998814","Boston","Yes","0"
"S32008","Powder House Circle - Nathan Tufts Park","42.400877","-71.116772","Somerville","Yes","15"
"C32007","Prudential Center - 101 Huntington Ave","42.34652003998412","-71.08065776545118","Boston","Yes","18"
"A32026","Purchase St at Pearl St","42.354659","-71.053181","Boston","Yes","19"
"L32001","Railroad Lot and Minuteman Bikeway","42.416084844039744","-71.15315407052549","Arlington","Yes","0"
"R32006","Revere City Hall","42.40741","-71.0139","Revere","Yes","11"
