Number,Name,Latitude,Longitude,District,Public,Total docks
D32034,Commonwealth Ave at Kelton St,42.3483586282,-71.1399721728,Boston,Yes,15
S32022,Community Path at Cedar Street,42.3940722367,-71.1113369465,Somerville,Yes,15
D32009,Congress St at Boston City Hall,42.3604177464,-71.0575224354,Boston,Yes,23
C32032,Congress St at Northern Ave,42.3481,-71.03764,Boston,Yes,15
C32010,Congress St at Sleeper St,42.3510044959,-71.0493001342,Boston,Yes,19
S32004,Conway Park - Somerville Avenue,42.383405,-71.107593,Somerville,Yes,23
K32001,Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338,Brookline,Yes,19
D32005,Copley Square - Dartmouth St at Boylston St,42.3499282823,-71.0773920687,Boston,Yes,33
S32037,Craigie at Summer St,42.3883055376,-71.1106797681,Somerville,Yes,19
D32010,Cross St at Hanover St,42.362811,-71.056067,Boston,Yes,19
E32001,Curtis Hall - South St at Centre St,42.309054,-71.11543,Boston,Yes,15
K32009,Cypress St at Clark Playground,42.3278431748,-71.1253622174,Brookline,Yes,15
M32030,Dana Park,42.3617804396,-71.1080995202,Cambridge,Yes,19
M32031,Danehy Park,42.388966,-71.132788,Cambridge,Yes,17
D32045,Dartmouth St at Newbury St,42.3509614442,-71.0778281093,Boston,Yes,19
S32006,Davis Square,42.396969,-71.123024,Somerville,Yes,25
B32037,Deerfield St at Commonwealth Ave,42.3492437696,-71.0972820969,Boston,Yes,19
M32066,Discovery Park - 30 Acorn Park Drive,42.3979081737,-71.1479713081,Cambridge,Yes,23
C32009,Dorchester Ave at Gillette Park,42.34404051,-71.0573762655,Boston,Yes,15
C32066,Dorchester Ave at King St,42.2917562163,-71.0625918024,Boston,Yes,15
B32017,Dudley Square - Bolling Building,42.3298429935,-71.0838657246,Boston,Yes,18
C32015,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.325333,-71.075354,Boston,Yes,15
C32018,E Cottage St at Columbia Rd,42.320561,-71.06198,Boston,Yes,19
A32031,East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.039431,Boston,Yes,16
S32017,East Somerville Library (Broadway and Illinois),42.3876281075,-71.0831871629,Somerville,Yes,15
S32038,Edgerly Education Center,42.3871746335,-71.0871438853,Somerville,Yes,15
A32022,Edwards Playground - Main St at Eden St,42.378965,-71.068607,Boston,Yes,19
M32034,EF - North Point Park,42.369885,-71.069957,Cambridge,Yes,23
E32004,Egleston Square - Atherton St at Washington St,42.315692,-71.098634,Boston,Yes,15
S32039,Elm St at White St,42.3895243631,-71.1169414036,Somerville,Yes,19
V32005,Encore,42.3932926323,-71.072447598,Everett,Yes,15
V32003,Everett Square (Broadway at Chelsea St),42.4072594517,-71.0554638133,Everett,Yes,14
A32000,Fan Pier,42.3533905071,-71.0445713997,Boston,Yes,15
A32038,Faneuil St at Arlington St,42.3527662055,-71.1598848553,Boston,Yes,15
C32051,Farragut Rd at E. 6th St,42.3334,-71.02495,Boston,Yes,23
V32007,Ferry St at Pleasantview Ave,42.4125045078,-71.0584222527,Everett,Yes,15
C32041,Fields Corner T Stop,42.2996667,-71.0605833,Boston,Yes,15
E32010,Forest Hills,42.300923,-71.114249,Boston,Yes,40
S32015,Foss Park,42.3910843815,-71.0903942585,Somerville,Yes,15
C32037,Four Corners - 157 Washington St,42.3041279274,-71.0792952776,Boston,Yes,11
C32027,Franklin Park - Seaver St at Humbolt Ave,42.309796,-71.092225,Boston,Yes,15
C32030,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,Boston,Yes,14
M32051,Fresh Pond Reservation,42.3826782752,-71.1434789514,Cambridge,Yes,17
C32040,Gallivan Blvd at Adams St,42.2829756784,-71.054666983,Boston,Yes,15
C32090,Geiger Gibson Community Health Center,42.3188646822,-71.0453679786,Boston,Yes,19
V32006,Glendale Square (Ferry St at Broadway),42.4142729429,-71.0447965566,Everett,Yes,15
A32034,Glendon St at Condor St,42.3824037767,-71.0302430391,Boston,Yes,19
B32032,Government Center - Cambridge St at Court St,42.359802516,-71.0596078263,Boston,Yes,23
E32005,Green Street T Stop - Green St at Amory St,42.310579,-71.107341,Boston,Yes,23
B32028,Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952,Boston,Yes,15
S32019,Grove St at Community Path,42.3963868095,-71.1201130601,Somerville,Yes,15
V32012,Hale Park,42.4149626488,-71.0527930101,Everett,Yes,11
D32043,Harrison Ave at Bennet St,42.3494260989,-71.0620995984,Boston,Yes,19
C32057,Harrison Ave at Mullins Way,42.3452156212,-71.0638403149,Boston,Yes,19
D32035,Harvard Ave at Brainerd Rd,42.3495301689,-71.1302277074,Boston,Yes,15
M32016,Harvard Kennedy School at Bennett St / Eliot St,42.3722168028,-71.1218807101,Cambridge,Yes,23
M32020,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,Cambridge,Yes,19
M32017,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,Cambridge,Yes,15
M32018,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Cambridge,Yes,19
M32055,Harvard St at Greene-Rose Heritage Park,42.3659943287,-71.0952222161,Cambridge,Yes,19
M32023,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,Cambridge,Yes,17
M32021,Harvard University Gund Hall at Quincy St / Kirkland St,42.376369,-71.114025,Cambridge,Yes,15
M32014,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,Cambridge,Yes,15
M32024,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,Cambridge,Yes,19
M32038,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.3691903177,-71.1171412468,Cambridge,Yes,19
D32026,Hayes Square - Vine St at Moulton St,42.377022,-71.056605,Boston,Yes,19
K32010,High St at Cypress St,42.325384357,-71.1217759553,Brookline,Yes,15
B32003,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.3374174846,-71.102861166,Boston,Yes,25
A32040,Honan Library,42.3602737045,-71.1285245233,Boston,Yes,15
B32033,Huntington Ave at Mass Art,42.3365855546,-71.0988699647,Boston,Yes,15
M32044,Huron Ave At Vassal Lane,42.3816506129,-71.134269815,Cambridge,Yes,19
C32089,Hyde Park Ave at Walk Hill St,42.2960670465,-71.1160119996,Boston,Yes,15
E32003,Hyde Square - Barbara St at Centre St,42.3217652572,-71.1098416057,Boston,Yes,15
C32020,ID Building East,42.344827,-71.028664,Boston,Yes,17
C32021,ID Building West,42.344796,-71.031614,Boston,Yes,19
C32025,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,Boston,Yes,15
M32062,Inman Square at Springfield St.,42.3743840852,-71.1001574622,Cambridge,Yes,19
A32011,Innovation Lab - 125 Western Ave at Batten Way,42.3631449888,-71.1229857431,Boston,Yes,15
E32006,Jackson Square T Stop,42.322931172,-71.1001414061,Boston,Yes,18
D32052,Jamaica St at South St,42.3060456272,-71.11570891,Boston,Yes,19
K32004,JFK Crossing at Harvard St. / Thorndike St.,42.346563,-71.128374,Brookline,Yes,15
C32013,JFK/UMass T Stop,42.3203397352,-71.0511803627,Boston,Yes,15
M32032,Kendall Street,42.3635601584,-71.0821679235,Cambridge,Yes,15
M32004,Kendall T,42.3624278429,-71.0849547386,Cambridge,Yes,23
B32010,Kenmore Square,42.348706,-71.097009,Boston,Yes,27
M32065,Kennedy-Longfellow School 158 Spring St,42.3695529776,-71.0857901498,Cambridge,Yes,19
M32009,Lafayette Square at Mass Ave / Main St / Columbia St,42.363464693,-71.1005732417,Cambridge,Yes,15
B32015,Landmark Center - Brookline Ave at Park Dr,42.3436905572,-71.1023528688,Boston,Yes,15
B32058,Lansdowne T Stop,42.3473447318,-71.1001680795,Boston,Yes,27
M32001,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,Cambridge,Yes,19
M32039,Lesley University,42.3867480205,-71.1190187931,Cambridge,Yes,15
D32006,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,Boston,Yes,19
